symbol,buy_time,sell_time,quantity,buy_price,sell_price,fee,realized_pnl
BNBUSDT,2024-09-09 10:39:07.531,2024-09-09 16:11:29.038,0.038,506.8,508.7,5.7e-05,0.072143
BNBUSDT,2024-09-09 10:39:07.531,2024-09-10 08:04:30.368,0.0010000000000000009,506.8,521.0,6.5e-05,0.014135
BNBUSDT,2024-09-10 06:00:31.723,2024-09-10 08:04:30.368,0.038,519.4,521.0,6.4e-05,0.060736
BNBUSDT,2024-09-10 18:07:13.781,2024-09-10 18:15:59.657,0.048,518.6,520.7,7.2e-05,0.100728
BNBUSDT,2024-09-11 00:26:51.503,2024-09-11 13:17:29.432,0.049,515.5,520.0,0.025517,0.194983
BNBUSDT,2024-09-11 20:20:26.793,2024-09-12 01:53:31.381,0.047,532.6,540.4,7.1e-05,0.366529
BNBUSDT,2024-09-11 20:20:26.793,2024-09-12 13:34:38.745,0.0010000000000000009,532.6,547.1,0.529629,-0.515129
BNBUSDT,2024-09-12 10:20:12.908,2024-09-12 13:34:38.745,0.046,545.5,547.1,0.529627,-0.456027
BNBUSDT,2024-09-12 13:16:03.778,2024-09-12 13:34:38.745,0.9209999999999999,542.4,547.1,0.530284,3.798416
BNBUSDT,2024-09-12 13:16:03.778,2024-09-12 22:46:50.514,0.001000000000000112,542.4,543.0,0.532288,-0.531688
BNBUSDT,2024-09-12 22:15:40.305,2024-09-12 22:46:50.514,0.9779999999999999,539.9,543.0,0.532331,2.49947
BNBUSDT,2024-09-12 22:15:40.305,2024-09-12 23:30:30.173,0.002000000000000113,539.9,544.7,0.001471,0.008129
BNBUSDT,2024-09-12 23:21:34.570,2024-09-12 23:30:30.173,0.9779999999999999,541.5,544.7,0.001469,3.128131
BNBUSDT,2024-09-12 23:21:34.570,2024-09-13 01:56:35.620,0.0030000000000001137,541.5,545.9,0.535718,-0.522518
BNBUSDT,2024-09-12 23:43:12.727,2024-09-13 01:56:35.620,0.754,544.1,545.9,0.535547,0.821652
BNBUSDT,2024-09-12 23:43:13.505,2024-09-13 01:56:35.620,0.044,544.1,545.9,0.535015,-0.455815
BNBUSDT,2024-09-12 23:43:20.899,2024-09-13 01:56:35.620,0.106,544.1,545.9,0.535061,-0.344262
BNBUSDT,2024-09-12 23:43:26.907,2024-09-13 01:56:35.620,0.018,544.1,545.9,0.534995,-0.502596
BNBUSDT,2024-09-12 23:43:47.911,2024-09-13 01:56:35.620,0.05499999999999988,544.1,545.9,0.535023,-0.436023
BNBUSDT,2024-09-12 23:43:47.911,2024-09-13 10:42:19.111,0.004000000000000115,544.1,543.6,6.5e-05,-0.002065
BNBUSDT,2024-09-13 09:21:16.328,2024-09-13 10:42:19.111,0.023999999999999886,541.6,543.6,3.9e-05,0.047961
BNBUSDT,2024-09-13 09:21:16.328,2024-09-13 10:42:20.129,0.215,541.6,543.6,0.000327,0.429673
BNBUSDT,2024-09-13 09:21:16.328,2024-09-13 10:42:21.795,0.329,541.6,543.6,0.179177,0.478823
BNBUSDT,2024-09-13 09:21:16.328,2024-09-13 10:42:24.704,0.047,541.6,543.6,0.000127,0.093873
BNBUSDT,2024-09-13 09:21:16.328,2024-09-13 10:42:25.219,0.018,541.6,543.6,5.4e-05,0.035946
BNBUSDT,2024-09-13 09:21:16.328,2024-09-13 10:42:29.085,0.284,541.6,543.6,0.155062,0.412938
BNBUSDT,2024-09-13 09:21:16.328,2024-09-13 13:42:03.755,0.005000000000000171,541.6,549.7,0.537748,-0.497248
BNBUSDT,2024-09-13 13:27:51.941,2024-09-13 13:42:03.755,0.9719999999999998,548.7,549.7,0.537786,0.434214
BNBUSDT,2024-09-13 13:27:51.941,2024-09-13 13:44:18.611,0.006000000000000227,548.7,550.7,0.001464,0.010536
BNBUSDT,2024-09-13 13:43:24.848,2024-09-13 13:44:18.611,0.9679999999999997,549.8,550.7,0.001457,0.869743
BNBUSDT,2024-09-13 13:43:24.848,2024-09-13 14:05:05.036,0.007000000000000228,549.8,553.4,0.538636,-0.513436
BNBUSDT,2024-09-13 13:45:10.374,2024-09-13 14:05:05.036,0.9649999999999997,551.3,553.4,0.538629,1.487871
BNBUSDT,2024-09-13 13:45:10.374,2024-09-13 17:40:47.949,0.00800000000000023,551.3,555.0,0.668395,-0.638795
BNBUSDT,2024-09-13 15:18:25.030,2024-09-13 17:40:47.949,0.98,548.5,555.0,0.6684,5.7016
BNBUSDT,2024-09-13 18:47:40.762,2024-09-13 21:15:29.974,2.79,554.5,556.4,1.554449,3.746551
BNBUSDT,2024-09-13 18:47:40.762,2024-09-14 01:11:21.107,0.0019999999999997797,554.5,558.5,0.002372,0.005628
BNBUSDT,2024-09-13 23:02:19.494,2024-09-14 01:11:21.107,0.3690000000000002,557.8,558.5,0.000555,0.257745
BNBUSDT,2024-09-13 23:02:19.494,2024-09-14 01:11:21.216,1.79,557.8,558.5,1.001263,0.251737
BNBUSDT,2024-09-13 23:02:19.494,2024-09-14 01:11:21.216,0.615,557.8,558.5,0.002529,0.427971
BNBUSDT,2024-09-13 23:02:19.494,2024-09-14 06:04:10.503,0.004999999999999671,557.8,552.9,1.538593,-1.563093
BNBUSDT,2024-09-14 02:30:21.107,2024-09-14 06:04:10.503,2.774,557.3,552.9,1.53859,-13.74419
BNBUSDT,2024-09-14 02:30:21.107,2024-09-15 14:29:51.707,0.007000000000000117,557.3,557.7,0.002133,0.000667
BNBUSDT,2024-09-15 14:27:42.432,2024-09-15 14:29:51.707,0.05599999999999988,556.9,557.7,8.9e-05,0.044711
BNBUSDT,2024-09-15 14:27:42.432,2024-09-15 15:41:46.134,0.008000000000000118,556.9,560.6,9.5e-05,0.029505
BNBUSDT,2024-09-15 14:55:24.440,2024-09-15 15:41:46.134,0.05499999999999988,560.1,560.6,8.9e-05,0.027411
BNBUSDT,2024-09-15 14:55:24.440,2024-09-15 21:14:20.019,0.008000000000000118,560.1,556.9,0.907237,-0.932837
BNBUSDT,2024-09-15 15:45:10.633,2024-09-15 21:14:20.019,0.063,560.7,556.9,0.907237,-1.146637
BNBUSDT,2024-09-15 21:12:38.600,2024-09-15 21:14:20.019,1.558,556.1,556.9,0.908359,0.338041
BNBUSDT,2024-09-15 21:12:38.600,2024-09-15 21:29:30.704,0.07099999999999995,556.1,558.8,0.0014,0.1903
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:29:30.704,0.16700000000000004,557.9,558.8,0.000304,0.149996
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:29:34.805,0.241,557.9,558.8,0.000406,0.216494
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:29:34.971,0.144,557.9,558.8,0.000316,0.129284
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:29:36.621,0.017,557.9,558.8,4.9e-05,0.015251
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:29:36.629,0.017,557.9,558.8,5.1e-05,0.015249
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:29:36.631,0.017,557.9,558.8,5.4e-05,0.015246
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:29:36.632,0.017,557.9,558.8,5.7e-05,0.015243
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:29:36.675,0.017,557.9,558.8,6e-05,0.01524
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:29:36.708,0.017,557.9,558.8,6.4e-05,0.015236
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:29:36.733,0.052,557.9,558.8,0.000209,0.046591
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:29:37.168,0.04,557.9,558.8,0.000208,0.035792
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:30:28.413,0.013,557.9,558.8,9e-05,0.01161
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:30:29.404,0.019,557.9,558.8,0.000149,0.016951
BNBUSDT,2024-09-15 21:19:21.140,2024-09-15 21:30:30.560,0.07099999999999984,557.9,558.8,0.433707,-0.369807
BNBUSDT,2024-09-15 21:19:21.296,2024-09-15 21:30:30.560,0.7040000000000002,557.9,558.8,0.433598,0.200002
BNBUSDT,2024-09-15 21:19:21.296,2024-09-15 21:52:23.973,0.019,557.9,559.2,0.000166,0.024534
BNBUSDT,2024-09-15 21:19:21.296,2024-09-15 21:52:24.145,0.034,557.9,559.2,0.000392,0.043808
BNBUSDT,2024-09-15 21:19:21.296,2024-09-15 21:52:25.930,0.019999999999999837,557.9,559.2,0.000599,0.025402
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:25.930,0.001000000000000164,558.9,559.2,1.7e-05,0.000284
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:28.091,0.028,558.9,559.2,0.015679,-0.007279
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:28.765,0.089,558.9,559.2,0.049837,-0.023137
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:30.050,0.035,558.9,559.2,0.0196,-0.0091
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:32.149,0.026,558.9,559.2,0.014561,-0.006761
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:32.254,0.026,558.9,559.2,0.014561,-0.006761
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:32.361,0.026,558.9,559.2,0.014562,-0.006762
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:32.467,0.026,558.9,559.2,0.014562,-0.006762
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:33.957,0.013,558.9,559.2,2.1e-05,0.003879
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:34.849,0.012,558.9,559.2,0.006721,-0.003121
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:36.506,0.019,558.9,559.2,0.010642,-0.004942
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:37.150,0.019,558.9,559.2,0.010642,-0.004942
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:41.369,0.043,558.9,559.2,0.024086,-0.011186
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:45.154,0.009,558.9,559.2,0.005041,-0.002341
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:45.442,0.559,558.9,559.2,0.313137,-0.145437
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 21:52:46.246,0.618,558.9,559.2,0.346673,-0.161273
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 22:14:10.121,0.026,558.9,558.7,0.000447,-0.005647
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 22:14:10.131,0.024,558.9,558.7,0.000627,-0.005427
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 22:14:10.133,0.023,558.9,558.7,0.001184,-0.005784
BNBUSDT,2024-09-15 21:36:51.954,2024-09-15 22:14:10.258,0.0010000000000002923,558.9,558.7,0.829769,-0.829969
BNBUSDT,2024-09-15 22:01:13.316,2024-09-15 22:14:10.258,0.289,558.6,558.7,0.828769,-0.799869
BNBUSDT,2024-09-15 22:01:13.407,2024-09-15 22:14:10.258,1.1929999999999998,558.6,558.7,0.829447,-0.710147
BNBUSDT,2024-09-15 22:01:13.407,2024-09-15 22:15:05.718,0.063,558.6,558.9,0.000836,0.018064
ETHUSDT,2024-09-15 23:52:48.597,2024-09-16 08:23:30.811,0.0016,2318.81,2323.0,0.003722,0.002982
ETHUSDT,2024-09-15 23:52:48.597,2024-09-16 08:23:31.204,0.1291,2318.81,2323.0,0.300309,0.24062
ETHUSDT,2024-09-15 23:52:48.597,2024-09-16 08:23:31.588,0.04350000000000001,2318.81,2323.0,0.637283,-0.455018
ETHUSDT,2024-09-15 23:52:48.597,2024-09-16 08:23:31.588,0.0066,2318.81,2323.0,0.636755,-0.609101
ETHUSDT,2024-09-15 23:52:48.597,2024-09-16 08:23:31.588,0.218,2318.81,2323.0,0.636952,0.276468
ETHUSDT,2024-09-15 23:52:48.597,2024-09-16 08:23:31.588,0.006000000000000005,2318.81,2323.0,0.636753,-0.611613
ETHUSDT,2024-09-15 23:52:48.597,2024-09-16 15:22:20.555,0.0002999999999999947,2318.81,2293.01,0.005523,-0.013263
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.555,0.002100000000000005,2286.23,2293.01,0.005505,0.008733
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.599,0.005,2286.23,2293.01,0.01147,0.02243
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.599,0.005,2286.23,2293.01,0.01147,0.02243
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.600,0.0056,2286.23,2293.01,0.012847,0.025121
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.600,0.0056,2286.23,2293.01,0.012847,0.025121
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.601,0.0057,2286.23,2293.01,0.013076,0.02557
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.606,0.0056,2286.23,2293.01,0.012847,0.025121
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.610,0.0058,2286.23,2293.01,0.013306,0.026018
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.611,0.0053,2286.23,2293.01,0.012159,0.023775
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.612,0.0055,2286.23,2293.01,0.012618,0.024672
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.615,0.0056,2286.23,2293.01,0.012847,0.025121
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.618,0.0055,2286.23,2293.01,0.012618,0.024672
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.619,0.0055,2286.23,2293.01,0.012618,0.024672
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.621,0.0055,2286.23,2293.01,0.012618,0.024672
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.622,0.0054,2286.23,2293.01,0.012389,0.024223
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.622,0.0054,2286.23,2293.01,0.012389,0.024223
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.623,0.0056,2286.23,2293.01,0.012848,0.02512
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.626,0.0056,2286.23,2293.01,0.012848,0.02512
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.627,0.0049,2286.23,2293.01,0.011242,0.02198
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.627,0.0058,2286.23,2293.01,0.013307,0.026017
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.631,0.0057,2286.23,2293.01,0.013078,0.025568
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.631,0.0056,2286.23,2293.01,0.012849,0.025119
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.634,0.0102,2286.23,2293.01,0.023403,0.045753
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.634,0.0057,2286.23,2293.01,0.013078,0.025568
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.638,0.0055,2286.23,2293.01,0.01262,0.02467
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.644,0.0056,2286.23,2293.01,0.012849,0.025119
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.647,0.0047,2286.23,2293.01,0.010784,0.021082
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.649,0.0056,2286.23,2293.01,0.01285,0.025118
ETHUSDT,2024-09-16 14:18:01.570,2024-09-16 15:22:20.657,0.2549,2286.23,2293.01,0.584897,1.143325
BNBUSDT,2024-09-15 22:01:13.407,2024-09-16 23:43:28.187,0.013000000000000067,558.6,534.8,0.15337,-0.46277
BNBUSDT,2024-09-16 19:48:04.643,2024-09-16 23:43:28.187,0.2719999999999999,533.4,534.8,0.152622,0.228178
BNBUSDT,2024-09-16 19:48:04.643,2024-09-16 23:43:28.187,0.01,533.4,534.8,0.00536,0.00864
BNBUSDT,2024-09-16 19:48:04.643,2024-09-16 23:43:28.187,0.4680000000000001,533.4,534.8,0.784579,-0.129379
BNBUSDT,2024-09-16 19:48:04.650,2024-09-16 23:43:28.187,0.75,533.4,534.8,0.784579,0.265421
BNBUSDT,2024-09-16 19:48:04.694,2024-09-16 23:43:28.187,0.2479999999999999,533.4,534.8,0.784203,-0.437003
BTCUSDT,2024-09-18 02:25:38.178,2024-09-18 18:35:04.330,0.01562,60168.01,61171.99,0.955522,14.726645
BNBUSDT,2024-09-16 19:48:04.694,2024-09-19 12:05:12.402,0.015000000000000124,533.4,559.5,0.957502,-0.566002
