asset,free,locked,date
NXS,0.00000000,0.00000000,2026-02-22
SC,0.00000000,0.00000000,2026-02-22
NPXS,0.00000000,0.00000000,2026-02-22
KEY,0.00000000,0.00000000,2026-02-22
NAS,0.00000000,0.00000000,2026-02-22
MFT,0.00000000,0.00000000,2026-02-22
DENT,0.00000000,0.00000000,2026-02-22
IQ,0.00000000,0.00000000,2026-02-22
ARDR,0.00000000,0.00000000,2026-02-22
HOT,0.00000000,0.00000000,2026-02-22
VET,0.00000000,0.00000000,2026-02-22
DOCK,0.00000000,0.00000000,2026-02-22
POLY,0.00000000,0.00000000,2026-02-22
VTHO,0.00000000,0.00000000,2026-02-22
ONG,0.00000000,0.00000000,2026-02-22
PHX,0.00000000,0.00000000,2026-02-22
HC,0.00000000,0.00000000,2026-02-22
GO,0.00000000,0.00000000,2026-02-22
PAX,0.00000000,0.00000000,2026-02-22
RVN,0.00000000,0.00000000,2026-02-22
DCR,0.00000000,0.00000000,2026-02-22
USDC,0.00000000,0.00000000,2026-02-22
MITH,0.00000000,0.00000000,2026-02-22
BCHABC,0.00000000,0.00000000,2026-02-22
BCHSV,0.00000000,0.00000000,2026-02-22
REN,0.00000000,0.00000000,2026-02-22
BTT,0.00000000,0.00000000,2026-02-22
USDS,0.00000000,0.00000000,2026-02-22
FET,0.00000000,0.00000000,2026-02-22
TFUEL,0.00000000,0.00000000,2026-02-22
CELR,0.00000000,0.00000000,2026-02-22
MATIC,0.00000000,0.00000000,2026-02-22
ATOM,0.00000000,0.00000000,2026-02-22
PHB,0.00000000,0.00000000,2026-02-22
ONE,0.00000000,0.00000000,2026-02-22
FTM,0.00000000,0.00000000,2026-02-22
BTCB,0.00000000,0.00000000,2026-02-22
USDSB,0.00000000,0.00000000,2026-02-22
CHZ,0.00000000,0.00000000,2026-02-22
COS,0.00000000,0.00000000,2026-02-22
ALGO,0.00000000,0.00000000,2026-02-22
ERD,0.00000000,0.00000000,2026-02-22
DOGE,0.00000000,0.00000000,2026-02-22
BGBP,0.00000000,0.00000000,2026-02-22
DUSK,0.00000000,0.00000000,2026-02-22
ANKR,0.00000000,0.00000000,2026-02-22
WIN,0.00000000,0.00000000,2026-02-22
TUSDB,0.00000000,0.00000000,2026-02-22
COCOS,0.00000000,0.00000000,2026-02-22
PERL,0.00000000,0.00000000,2026-02-22
TOMO,0.00000000,0.00000000,2026-02-22
BUSD,0.00000000,0.00000000,2026-02-22
BAND,0.00000000,0.00000000,2026-02-22
BEAM,0.00000000,0.00000000,2026-02-22
HBAR,0.00000000,0.00000000,2026-02-22
XTZ,0.00000000,0.00000000,2026-02-22
NGN,0.00000000,0.00000000,2026-02-22
DGB,0.00000000,0.00000000,2026-02-22
NKN,0.00000000,0.00000000,2026-02-22
GBP,0.00000000,0.00000000,2026-02-22
EUR,0.00000000,0.00000000,2026-02-22
KAVA,0.00000000,0.00000000,2026-02-22
RUB,0.00000000,0.00000000,2026-02-22
LDUSDT,14.63339345,0.00000000,2026-02-22
UAH,0.00000000,0.00000000,2026-02-22
ARPA,0.00000000,0.00000000,2026-02-22
TRY,0.00000000,0.00000000,2026-02-22
CTXC,0.00000000,0.00000000,2026-02-22
USD,0.00000000,0.00000000,2026-02-22
AERGO,0.00000000,0.00000000,2026-02-22
BCH,0.00000000,0.00000000,2026-02-22
TROY,0.00000000,0.00000000,2026-02-22
IDR,0.00,0.00,2026-02-22
COP,0.00000000,0.00000000,2026-02-22
MXN,0.00000000,0.00000000,2026-02-22
ARS,0.00000000,0.00000000,2026-02-22
BRL,0.00000000,0.00000000,2026-02-22
VITE,0.00000000,0.00000000,2026-02-22
FTT,0.00000000,0.00000000,2026-02-22
PLN,0.00000000,0.00000000,2026-02-22
CZK,0.00000000,0.00000000,2026-02-22
RON,0.00000000,0.00000000,2026-02-22
AUD,0.00000000,0.00000000,2026-02-22
OGN,0.00000000,0.00000000,2026-02-22
DREP,0.00000000,0.00000000,2026-02-22
BULL,0.00000000,0.00000000,2026-02-22
BEAR,0.00000000,0.00000000,2026-02-22
ETHBULL,0.00000000,0.00000000,2026-02-22
ETHBEAR,0.00000000,0.00000000,2026-02-22
XRPBULL,0.00000000,0.00000000,2026-02-22
XRPBEAR,0.00000000,0.00000000,2026-02-22
EOSBULL,0.00000000,0.00000000,2026-02-22
EOSBEAR,0.00000000,0.00000000,2026-02-22
JPY,0.00000000,0.00000000,2026-02-22
TCT,0.00000000,0.00000000,2026-02-22
WRX,0.00000000,0.00000000,2026-02-22
LTO,0.00000000,0.00000000,2026-02-22
ZAR,0.00000000,0.00000000,2026-02-22
MBL,0.00000000,0.00000000,2026-02-22
COTI,0.00000000,0.00000000,2026-02-22
BKRW,0.00000000,0.00000000,2026-02-22
BNBBULL,0.00000000,0.00000000,2026-02-22
BNBBEAR,0.00000000,0.00000000,2026-02-22
HIVE,0.00000000,0.00000000,2026-02-22
STPT,0.00000000,0.00000000,2026-02-22
SOL,0.00000000,0.00000000,2026-02-22
IDRT,0.00,0.00,2026-02-22
CTSI,0.00000000,0.00000000,2026-02-22
CHR,0.00000000,0.00000000,2026-02-22
BTCUP,0.00000000,0.00000000,2026-02-22
BTCDOWN,0.00000000,0.00000000,2026-02-22
HNT,0.00000000,0.00000000,2026-02-22
JST,0.00000000,0.00000000,2026-02-22
